Story ID,Module,Screen,User Story,Acceptance Criteria,Category (AI / Non-AI),Priority,Depends On Screen
US-AUTH-01,Authentication,Login (/),"As a user, I want to sign in with email and OTP so that I can access my relevant app experience.",Email entry is required; OTP step appears after Continue; Verify action signs user in and routes to persona home.,Non-AI,High,None (Entry Point)
US-AUTH-02,Authentication,Login (/),"As an investor user, I want to land on Dashboard after login so that I can quickly view portfolio health.",Investor persona is routed to /dashboard immediately after successful sign-in.,Non-AI,High,Login (/)
US-AUTH-03,Authentication,Login (/),"As a prospect user, I want to land on Explore after login so that I can discover investment opportunities.",Prospect persona is routed to /explore immediately after successful sign-in.,Non-AI,High,Login (/)
US-AUTH-04,Authorization,Investor-only Routes,"As a prospect, I should be blocked from investor-only screens so that I only see allowed functionality.","Access to /dashboard, /portfolio, /property/:id, /documents redirects prospect to /explore.",Non-AI,High,Login (/)
US-DASH-01,Overview,Dashboard (/dashboard),"As an investor, I want to see key portfolio KPIs in one view so that I understand my current position quickly.","Shows Total Portfolio Value (or Property Value for single holding), capital growth £/% for selected range, Invested, Equity, Loans, Gross Yield, and Net Cash Flow.",Non-AI,High,Login (/)
US-DASH-02,Overview,Dashboard (/dashboard),"As an investor, I want portfolio highlights so that I can quickly identify top-performing assets.","Highlights section shows Best Performer, Highest Gross Yield (when available), Avg Gross Yield, and optional region blurb; each highlight deep-links to the related property where applicable.",Non-AI,High,Dashboard (/dashboard)
US-DASH-03,Overview,Dashboard (/dashboard),"As an investor, I want AI-generated portfolio insights so that I can understand risks, opportunities, and recommended next actions.","Insights cards are generated by an AI agent from portfolio context (e.g. concentration, regional yield gaps, yield vs target, growth vs cash flow, pipeline); each card shows tone/metric and can CTA to Explore when relevant.",AI,High,Dashboard (/dashboard)
US-DASH-04,Overview,Dashboard (/dashboard),"As an investor, I want to navigate from dashboard to deeper pages so that I can continue analysis.","Dashboard provides paths to Portfolio, Property Detail, Explore, Calculator, and Documents; time-range control (1M/3M/1Y/All) updates chart and growth metrics.",Non-AI,High,Dashboard (/dashboard)
US-PF-01,Portfolio,Portfolio (/portfolio),"As an investor, I want to see all my holdings with summary metrics so that I can compare properties quickly.","Header shows holdings count and total portfolio value; each card shows image, reference, status, name, location, Value, Rent, Gross Yield, and capital growth % when available; mortgaged cards show Monthly, Outstanding, progress, and Next due.",Non-AI,High,Dashboard (/dashboard)
US-PF-02,Portfolio,Portfolio (/portfolio),"As an investor, I want to open a property from portfolio so that I can view complete property-level details.",Tapping a holding card opens /property/:id for the selected property.,Non-AI,High,Portfolio (/portfolio)
US-PF-03,Portfolio,Portfolio (/portfolio),"As an investor, I want an advisor CTA on portfolio so that I can request help while reviewing holdings.",Portfolio footer exposes Speak with advisor / contact flow.,Non-AI,Medium,Portfolio (/portfolio)
US-PD-01,Property Detail,Property Detail (/property/:id),"As an investor, I want a property hero and overview so that I can confirm the asset basics and valuation position.","Hero shows image, reference, status, name, location, beds/baths/sq ft. Overview shows current valuation, capital growth since purchase, Purchase Price, Current Value, Equity, and Outstanding Loan with LTV.",Non-AI,High,Portfolio (/portfolio)
US-PD-02,Property Detail,Property Detail (/property/:id),"As an investor, I want a Mortgage Plan section on owned leveraged holdings so that I can track repayments and schedule.","Mortgage tab appears only when a plan exists; shows lender, type, rate, monthly, outstanding, term, original loan, progress, next payment, and schedule filterable by All/Paid/Due/Upcoming.",Non-AI,High,Property Detail (/property/:id)
US-PD-03,Property Detail,Property Detail (/property/:id),"As an investor, I want Income & Costs details so that I can see rent versus operating expenses and net cash flow.","Tenanted holdings show monthly rent vs expected, Service Charge, Management Fee, Mortgage, Total Costs, Net Monthly and Annual. In Build holdings show expected-rent empty state.",Non-AI,High,Property Detail (/property/:id)
US-PD-04,Property Detail,Property Detail (/property/:id),"As an investor, I want Performance metrics so that I can compare growth, yield, and occupancy for the property.","Performance section shows Capital Growth %, Gross Yield (or em dash when not applicable), and Occupancy %.",Non-AI,High,Property Detail (/property/:id)
US-PD-05,Property Detail,Property Detail (/property/:id),"As an investor, I want Value Over Time and long-term Projection so that I can evaluate historical and forward-looking returns.","Value chart supports 1M/3M/1Y/All. Projection supports 5Y/10Y/15Y with capital growth, cumulative income, total return, year-by-year breakdown, and assumptions disclaimer.",Non-AI,High,Property Detail (/property/:id)
US-PD-06,Property Detail,Property Detail (/property/:id),"As an investor, I want Tenancy details when a tenant exists so that I can track occupancy end dates.","Tenancy section appears only when tenant data exists and shows tenant name, end date, and occupancy.",Non-AI,Medium,Property Detail (/property/:id)
US-DOC-01,Documents,Documents (/documents),"As an investor, I want to search and filter my document library so that I can quickly find required files.","Category filters (All, Contracts, Rental, Tax, Mortgage, Legal, Others) and search by name narrow results; header shows file count and new count.",Non-AI,High,Dashboard (/dashboard)
